22.01.2023 - 12:38;Bus voltage (V);Shunt Voltage (mV);Load Voltage (V);Current (mA);Power (mW)
22.01.2023 - 12:39;12.12;0.15;12.12;1.20;20.00;
22.01.2023 - 12:41;12.10;0.19;12.10;1.80;22.00;
22.01.2023 - 12:42;12.13;0.15;12.13;1.70;20.00;
22.01.2023 - 12:43;12.12;0.19;12.12;1.50;20.00;
22.01.2023 - 12:44;12.12;0.14;12.12;1.30;22.00;
22.01.2023 - 12:45;12.12;0.13;12.12;1.70;20.00;
22.01.2023 - 12:46;12.12;0.17;12.12;1.60;20.00;
22.01.2023 - 12:47;12.12;0.16;12.12;1.40;16.00;
22.01.2023 - 12:48;12.12;0.16;12.12;1.40;16.00;
22.01.2023 - 12:49;12.12;0.15;12.12;1.80;16.00;
22.01.2023 - 12:50;12.12;0.16;12.12;1.60;20.00;
22.01.2023 - 12:51;12.11;0.14;12.11;1.70;16.00;
22.01.2023 - 12:52;12.12;0.14;12.12;1.60;20.00;
22.01.2023 - 12:53;12.11;0.16;12.11;1.40;16.00;
22.01.2023 - 12:54;12.12;0.16;12.12;1.60;20.00;
22.01.2023 - 12:55;12.11;0.16;12.11;1.60;20.00;
22.01.2023 - 12:56;12.11;0.16;12.11;1.80;20.00;
22.01.2023 - 12:57;12.12;0.16;12.12;1.20;20.00;
22.01.2023 - 12:58;12.12;0.16;12.12;1.40;16.00;
22.01.2023 - 12:59;12.12;0.17;12.12;1.50;20.00;
22.01.2023 - 13:00;12.12;0.13;12.12;1.90;22.00;
22.01.2023 - 13:01;12.11;0.15;12.11;1.60;20.00;
22.01.2023 - 13:02;12.12;0.13;12.12;1.70;20.00;
22.01.2023 - 13:03;12.11;0.17;12.11;1.80;20.00;
22.01.2023 - 13:04;12.11;0.12;12.11;1.90;22.00;
22.01.2023 - 13:05;12.12;0.14;12.12;1.50;20.00;
22.01.2023 - 13:06;12.12;0.16;12.12;1.50;20.00;
22.01.2023 - 13:07;12.12;0.18;12.12;1.60;22.00;
22.01.2023 - 13:08;12.12;0.14;12.12;1.80;20.00;
22.01.2023 - 13:09;12.12;0.17;12.12;1.70;20.00;
22.01.2023 - 13:10;12.11;0.18;12.11;1.90;22.00;
22.01.2023 - 13:11;12.12;0.16;12.12;1.80;22.00;
22.01.2023 - 13:12;12.12;0.18;12.12;1.50;20.00;
22.01.2023 - 13:13;12.11;0.17;12.11;1.80;20.00;
22.01.2023 - 13:14;12.12;0.17;12.12;1.50;16.00;
22.01.2023 - 13:15;12.12;0.17;12.12;1.80;20.00;
22.01.2023 - 13:16;12.12;0.16;12.12;1.50;20.00;
22.01.2023 - 13:17;12.12;0.17;12.12;1.60;20.00;
22.01.2023 - 13:18;12.12;0.18;12.12;1.80;22.00;
22.01.2023 - 13:19;12.12;0.16;12.12;1.80;22.00;
22.01.2023 - 13:20;12.12;0.18;12.12;1.70;20.00;
22.01.2023 - 13:21;12.12;0.17;12.12;1.70;14.00;
22.01.2023 - 13:22;12.12;0.18;12.12;1.80;22.00;
22.01.2023 - 13:23;12.12;0.17;12.12;2.00;22.00;
22.01.2023 - 13:24;12.11;0.17;12.11;1.80;22.00;
22.01.2023 - 13:25;12.12;0.17;12.12;1.50;20.00;
22.01.2023 - 13:26;12.12;0.18;12.12;1.60;22.00;
22.01.2023 - 13:27;12.11;0.17;12.11;1.70;20.00;
22.01.2023 - 13:28;12.12;0.17;12.12;1.80;20.00;
22.01.2023 - 13:29;12.12;0.17;12.12;1.80;22.00;
22.01.2023 - 13:30;12.11;0.15;12.11;1.50;20.00;
22.01.2023 - 13:31;12.12;0.30;12.12;1.60;20.00;
22.01.2023 - 13:32;12.12;0.16;12.12;1.80;20.00;
22.01.2023 - 13:33;12.12;0.17;12.12;1.50;20.00;
22.01.2023 - 13:34;12.12;0.17;12.12;1.70;20.00;
22.01.2023 - 13:35;12.12;0.18;12.12;1.80;22.00;
22.01.2023 - 13:36;12.11;0.16;12.11;1.60;20.00;
22.01.2023 - 13:37;12.12;0.19;12.12;1.70;20.00;
22.01.2023 - 13:38;12.12;0.20;12.12;1.70;20.00;
22.01.2023 - 13:39;12.11;0.20;12.11;1.90;20.00;
22.01.2023 - 13:40;12.12;0.17;12.12;2.10;22.00;
22.01.2023 - 13:42;12.11;0.18;12.11;1.80;20.00;
22.01.2023 - 13:43;12.12;0.14;12.12;1.80;22.00;
22.01.2023 - 13:44;12.12;0.19;12.12;2.10;26.00;
22.01.2023 - 13:45;12.12;0.19;12.12;2.10;26.00;
22.01.2023 - 13:46;12.11;0.16;12.11;1.70;22.00;
22.01.2023 - 13:47;12.11;0.18;12.11;1.90;20.00;
22.01.2023 - 13:48;12.11;0.19;12.11;1.80;20.00;
22.01.2023 - 13:49;12.11;0.18;12.11;1.80;22.00;
22.01.2023 - 13:50;12.12;0.17;12.12;1.80;22.00;
22.01.2023 - 13:51;12.12;0.18;12.12;2.10;26.00;
22.01.2023 - 13:52;12.11;0.16;12.11;1.70;22.00;
22.01.2023 - 13:53;12.11;0.20;12.11;2.00;16.00;
22.01.2023 - 13:54;12.11;0.18;12.11;1.80;20.00;
22.01.2023 - 13:55;12.12;0.18;12.12;1.70;20.00;
22.01.2023 - 13:56;12.11;0.20;12.11;2.00;22.00;
22.01.2023 - 13:57;12.12;0.17;12.12;1.80;22.00;
22.01.2023 - 13:58;12.11;0.17;12.11;1.60;22.00;
22.01.2023 - 13:59;12.11;0.18;12.11;1.80;22.00;
22.01.2023 - 14:00;12.12;0.14;12.12;1.60;22.00;
22.01.2023 - 14:01;12.12;0.19;12.12;1.90;22.00;
22.01.2023 - 14:02;12.12;0.16;12.12;2.10;26.00;
22.01.2023 - 14:03;12.12;0.19;12.12;1.70;20.00;
22.01.2023 - 14:04;12.12;0.16;12.12;1.60;22.00;
22.01.2023 - 14:05;12.11;0.17;12.11;1.90;20.00;
22.01.2023 - 14:06;12.12;0.17;12.12;2.00;20.00;
22.01.2023 - 14:07;12.12;0.19;12.12;1.90;22.00;
22.01.2023 - 14:08;12.12;0.17;12.12;1.60;20.00;
22.01.2023 - 14:09;12.12;0.18;12.12;1.40;16.00;
22.01.2023 - 14:10;12.12;0.14;12.12;1.70;20.00;
22.01.2023 - 14:11;12.11;0.16;12.11;1.80;20.00;
22.01.2023 - 14:12;12.12;0.17;12.12;1.50;20.00;
22.01.2023 - 14:13;12.12;0.15;12.12;1.30;20.00;
22.01.2023 - 14:14;12.12;0.16;12.12;1.40;16.00;
22.01.2023 - 14:15;12.11;0.16;12.11;1.50;20.00;
22.01.2023 - 14:16;12.12;0.16;12.12;1.60;20.00;
22.01.2023 - 14:17;12.11;0.15;12.11;1.90;14.00;
22.01.2023 - 14:18;12.11;0.17;12.11;1.60;16.00;
22.01.2023 - 14:19;12.11;0.15;12.11;1.40;16.00;
22.01.2023 - 14:20;12.11;0.16;12.11;1.50;20.00;
22.01.2023 - 14:21;12.11;0.14;12.11;1.90;22.00;
22.01.2023 - 14:22;12.11;0.15;12.11;1.50;20.00;
22.01.2023 - 14:23;12.11;0.12;12.11;1.60;20.00;
22.01.2023 - 14:24;12.12;0.17;12.12;1.50;20.00;
22.01.2023 - 14:25;12.12;0.14;12.12;1.80;16.00;
22.01.2023 - 14:26;12.11;0.15;12.11;1.50;20.00;
22.01.2023 - 14:27;12.12;0.15;12.12;1.10;14.00;
22.01.2023 - 14:28;12.12;0.17;12.12;1.70;20.00;
22.01.2023 - 14:29;12.12;0.14;12.12;1.50;20.00;
22.01.2023 - 14:30;12.12;0.14;12.12;1.60;16.00;
22.01.2023 - 14:31;12.12;0.12;12.12;1.80;20.00;
22.01.2023 - 14:32;12.11;0.15;12.11;1.40;20.00;
22.01.2023 - 14:33;12.12;0.14;12.12;1.40;16.00;
22.01.2023 - 14:34;12.12;0.16;12.12;1.30;16.00;
22.01.2023 - 14:35;12.12;0.12;12.12;1.40;16.00;
22.01.2023 - 14:36;12.12;0.16;12.12;1.50;20.00;
22.01.2023 - 14:37;12.12;0.14;12.12;1.40;20.00;
22.01.2023 - 14:38;12.12;0.15;12.12;1.50;20.00;
22.01.2023 - 14:39;12.11;0.16;12.11;1.70;20.00;
22.01.2023 - 14:40;12.12;0.18;12.12;1.30;16.00;
22.01.2023 - 14:41;12.12;0.14;12.12;1.40;16.00;
22.01.2023 - 14:43;12.11;0.17;12.11;1.50;20.00;
22.01.2023 - 14:44;12.11;0.18;12.11;1.20;20.00;
22.01.2023 - 14:45;12.11;0.14;12.11;1.30;20.00;
22.01.2023 - 14:46;12.11;0.13;12.11;1.50;16.00;
22.01.2023 - 14:47;12.11;0.12;12.11;1.50;20.00;
22.01.2023 - 14:48;12.11;0.15;12.11;1.40;16.00;
22.01.2023 - 14:49;12.11;0.14;12.11;1.50;20.00;
22.01.2023 - 14:50;12.12;0.17;12.12;1.30;16.00;
22.01.2023 - 14:51;12.12;0.13;12.12;1.50;20.00;
22.01.2023 - 14:52;12.11;0.16;12.11;1.30;14.00;
22.01.2023 - 14:53;12.11;0.14;12.11;1.50;20.00;
22.01.2023 - 14:54;12.11;0.14;12.11;1.40;16.00;
22.01.2023 - 14:55;12.12;0.26;12.12;1.30;16.00;
22.01.2023 - 14:56;12.11;0.13;12.11;1.20;14.00;
22.01.2023 - 14:57;12.11;0.16;12.11;1.70;16.00;
22.01.2023 - 14:58;12.12;0.17;12.12;1.60;20.00;
22.01.2023 - 14:59;12.11;0.15;12.11;1.50;20.00;
22.01.2023 - 15:00;12.10;0.15;12.10;1.40;16.00;
22.01.2023 - 15:01;12.09;0.16;12.09;1.40;16.00;
22.01.2023 - 15:02;12.12;0.13;12.12;1.60;20.00;
22.01.2023 - 15:03;12.11;0.17;12.11;1.30;16.00;
22.01.2023 - 15:04;12.12;0.14;12.12;1.50;20.00;
22.01.2023 - 15:05;12.11;0.18;12.11;1.80;20.00;
22.01.2023 - 15:06;12.12;0.17;12.12;1.70;20.00;
22.01.2023 - 15:07;12.11;0.15;12.11;1.70;20.00;
22.01.2023 - 15:08;12.11;0.15;12.11;1.70;20.00;
22.01.2023 - 15:09;12.12;0.16;12.12;1.90;22.00;
22.01.2023 - 15:10;12.11;0.15;12.11;1.40;20.00;
22.01.2023 - 15:11;12.11;0.17;12.11;1.80;20.00;
22.01.2023 - 15:12;12.12;0.14;12.12;1.70;16.00;
22.01.2023 - 15:13;12.12;0.14;12.12;1.60;20.00;
22.01.2023 - 15:14;12.11;0.18;12.11;1.70;20.00;
22.01.2023 - 15:15;12.10;0.15;12.10;1.40;16.00;
22.01.2023 - 15:16;12.11;0.17;12.11;1.80;22.00;
22.01.2023 - 15:17;12.12;0.16;12.12;1.70;20.00;
22.01.2023 - 15:18;12.12;0.16;12.12;1.90;20.00;
22.01.2023 - 15:19;12.11;0.15;12.11;1.50;22.00;
22.01.2023 - 15:20;12.11;0.16;12.11;1.80;22.00;
22.01.2023 - 15:21;12.12;0.18;12.12;1.80;22.00;
22.01.2023 - 15:22;12.12;0.16;12.12;1.60;20.00;
22.01.2023 - 15:23;12.11;0.13;12.11;1.70;20.00;
22.01.2023 - 15:24;12.11;0.17;12.11;1.70;20.00;
22.01.2023 - 15:25;12.12;0.17;12.12;1.70;16.00;
22.01.2023 - 15:26;12.11;0.18;12.11;1.80;22.00;
22.01.2023 - 15:27;12.12;0.18;12.12;1.60;20.00;
22.01.2023 - 15:28;12.12;0.17;12.12;2.00;22.00;
22.01.2023 - 15:29;12.11;0.18;12.11;1.90;22.00;
22.01.2023 - 15:30;12.12;0.20;12.12;2.10;20.00;
22.01.2023 - 15:31;12.12;0.18;12.12;1.90;22.00;
22.01.2023 - 15:32;12.11;0.18;12.11;1.70;22.00;
22.01.2023 - 15:33;12.12;0.18;12.12;1.90;22.00;
22.01.2023 - 15:34;12.11;0.17;12.11;2.00;22.00;
22.01.2023 - 15:35;12.11;0.17;12.11;1.90;22.00;
22.01.2023 - 15:36;12.12;0.20;12.12;1.40;26.00;
22.01.2023 - 15:37;12.11;0.21;12.11;1.70;26.00;
22.01.2023 - 15:38;12.11;0.19;12.11;1.70;22.00;
22.01.2023 - 15:39;12.11;0.19;12.11;2.00;22.00;
22.01.2023 - 15:40;12.11;0.19;12.11;2.00;22.00;
22.01.2023 - 15:41;12.11;0.16;12.11;1.90;22.00;
22.01.2023 - 15:42;12.11;0.19;12.11;1.80;26.00;
22.01.2023 - 15:44;12.12;0.21;12.12;1.90;26.00;
22.01.2023 - 15:45;12.11;0.19;12.11;2.00;22.00;
22.01.2023 - 15:46;12.11;0.21;12.11;2.10;26.00;
22.01.2023 - 15:47;12.12;0.20;12.12;1.90;22.00;
22.01.2023 - 15:48;12.11;0.21;12.11;2.40;30.00;
22.01.2023 - 15:49;12.11;0.19;12.11;1.90;22.00;
22.01.2023 - 15:50;12.12;0.21;12.12;2.10;22.00;
22.01.2023 - 15:51;12.12;0.21;12.12;2.00;22.00;
22.01.2023 - 15:52;12.11;0.21;12.11;2.20;30.00;
22.01.2023 - 15:53;12.11;0.22;12.11;2.00;22.00;
22.01.2023 - 15:54;12.11;0.22;12.11;1.90;22.00;
22.01.2023 - 15:55;12.10;0.20;12.10;2.20;26.00;
22.01.2023 - 15:56;12.11;0.41;12.11;4.10;50.00;
22.01.2023 - 15:57;12.12;0.20;12.12;2.10;26.00;
