DateTime;Bus voltage (V);Shunt Voltage (mV);Load Voltage (V);Current (mA);Power (mW)
23.01.2023 - 06:44;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 06:45;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 06:46;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 06:47;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 06:48;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 06:49;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 06:50;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 06:51;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 06:52;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 06:53;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 06:54;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 06:55;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 06:56;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 06:57;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 06:58;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 06:59;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 07:00;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 07:01;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 07:02;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 07:03;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 07:04;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 07:05;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 07:06;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 07:07;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 07:08;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 07:09;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 07:10;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 07:11;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 07:12;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 07:13;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 07:14;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 07:15;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 07:16;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 07:17;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 07:18;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 07:19;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 07:20;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 07:21;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 07:22;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 07:23;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 07:24;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 07:25;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 07:26;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 07:27;13.57;-0.31;13.57;-3.10;42.00;
23.01.2023 - 07:28;13.57;-0.31;13.57;-3.10;42.00;
