DateTime;Bus voltage (V);Shunt Voltage (mV);Load Voltage (V);Current (mA);Power (mW)
25.01.2023 - 19:31;1.21;-0.03;1.21;-0.30;0.00;
25.01.2023 - 19:31;1.18;-0.03;1.18;-0.40;0.00;
25.01.2023 - 19:31;1.18;-0.05;1.18;-0.40;0.00;
25.01.2023 - 19:31;12.88;0.24;12.88;3.40;42.00;
25.01.2023 - 19:31;12.86;0.21;12.86;1.50;20.00;
25.01.2023 - 19:32;12.90;0.34;12.90;3.20;36.00;
25.01.2023 - 19:32;1.57;-0.01;1.57;-0.30;0.00;
25.01.2023 - 19:32;1.04;-0.05;1.04;-0.30;0.00;
25.01.2023 - 19:32;1.01;-0.04;1.01;-0.40;0.00;
25.01.2023 - 19:32;1.00;-0.02;1.00;-0.40;0.00;
25.01.2023 - 19:32;1.05;-0.03;1.05;-0.50;0.00;
25.01.2023 - 19:33;1.00;-0.04;1.00;-0.30;0.00;
25.01.2023 - 19:33;1.06;-0.02;1.06;-0.50;0.00;
25.01.2023 - 19:33;0.99;-0.04;0.99;0.00;0.00;
25.01.2023 - 19:33;1.04;-0.05;1.04;-0.30;0.00;
25.01.2023 - 19:33;1.01;-0.06;1.01;-0.40;0.00;
25.01.2023 - 19:34;1.05;-0.04;1.05;-0.60;0.00;
25.01.2023 - 19:34;12.90;0.27;12.90;3.10;40.00;
25.01.2023 - 19:34;12.86;0.20;12.86;1.50;20.00;
25.01.2023 - 19:34;12.89;0.30;12.89;3.30;42.00;
25.01.2023 - 19:34;12.88;0.22;12.88;2.40;42.00;
25.01.2023 - 19:35;12.84;0.16;12.84;2.20;30.00;
25.01.2023 - 19:35;12.84;0.18;12.84;1.30;20.00;
25.01.2023 - 19:35;12.89;0.32;12.89;2.60;32.00;
25.01.2023 - 19:35;12.84;0.16;12.84;2.20;30.00;
25.01.2023 - 19:35;12.90;0.34;12.90;2.80;32.00;
25.01.2023 - 19:35;12.87;0.21;12.87;2.90;36.00;
25.01.2023 - 19:36;12.82;0.14;12.82;1.30;22.00;
25.01.2023 - 19:36;12.90;0.31;12.90;2.20;30.00;
25.01.2023 - 19:36;12.88;0.19;12.88;2.50;40.00;
25.01.2023 - 19:36;12.89;0.31;12.89;1.70;22.00;
25.01.2023 - 19:36;12.89;0.26;12.89;3.00;42.00;
25.01.2023 - 19:37;12.88;0.28;12.88;1.40;16.00;
25.01.2023 - 19:37;12.89;0.17;12.89;2.90;40.00;
25.01.2023 - 19:37;12.89;0.30;12.89;2.00;26.00;
25.01.2023 - 19:37;12.90;0.33;12.90;2.90;26.00;
25.01.2023 - 19:37;12.89;0.26;12.89;3.10;46.00;
25.01.2023 - 19:37;12.86;0.15;12.86;2.70;36.00;
25.01.2023 - 19:38;12.83;0.14;12.83;1.40;26.00;
25.01.2023 - 19:38;12.89;0.30;12.89;1.80;22.00;
25.01.2023 - 19:38;12.89;0.32;12.89;2.70;22.00;
25.01.2023 - 19:38;12.90;0.31;12.90;3.20;42.00;
25.01.2023 - 19:38;12.86;0.12;12.86;2.10;40.00;
25.01.2023 - 19:39;12.87;0.27;12.87;1.80;16.00;
25.01.2023 - 19:39;10.06;0.07;10.06;0.60;6.00;
25.01.2023 - 19:39;11.39;0.11;11.39;1.10;14.00;
25.01.2023 - 19:39;8.40;0.07;8.40;0.50;0.00;
25.01.2023 - 19:39;12.85;0.21;12.85;1.10;14.00;
25.01.2023 - 19:39;12.85;0.15;12.85;2.30;30.00;
25.01.2023 - 19:40;12.90;0.33;12.90;3.20;32.00;
25.01.2023 - 19:40;12.82;0.17;12.82;1.70;22.00;
25.01.2023 - 19:40;12.88;0.29;12.88;2.10;20.00;
25.01.2023 - 19:40;12.87;0.18;12.87;2.70;36.00;
25.01.2023 - 19:40;12.90;0.27;12.90;3.40;42.00;
25.01.2023 - 19:41;12.89;0.32;12.89;2.60;22.00;
25.01.2023 - 19:41;12.89;0.31;12.89;1.90;22.00;
25.01.2023 - 19:41;12.85;0.14;12.85;2.40;30.00;
25.01.2023 - 19:41;12.88;0.33;12.88;3.10;36.00;
25.01.2023 - 19:41;12.88;0.28;12.88;2.00;20.00;
25.01.2023 - 19:41;12.84;0.14;12.84;2.20;30.00;
25.01.2023 - 19:42;8.34;0.07;8.34;0.70;6.00;
25.01.2023 - 19:42;4.74;0.01;4.74;0.30;0.00;
25.01.2023 - 19:42;3.62;-0.05;3.62;-0.10;0.00;
25.01.2023 - 19:42;9.43;0.09;9.43;0.70;6.00;
25.01.2023 - 19:42;5.26;0.01;5.26;0.00;0.00;
25.01.2023 - 19:43;5.31;0.00;5.31;0.00;0.00;
25.01.2023 - 19:43;12.89;0.23;12.89;2.50;40.00;
25.01.2023 - 19:43;12.88;0.26;12.88;1.20;16.00;
25.01.2023 - 19:43;12.87;0.17;12.87;2.70;36.00;
25.01.2023 - 19:43;12.88;0.25;12.88;1.80;16.00;
25.01.2023 - 19:43;5.24;0.02;5.24;0.20;0.00;
25.01.2023 - 19:44;11.06;0.12;11.06;0.80;10.00;
25.01.2023 - 19:44;12.82;0.15;12.82;1.90;32.00;
25.01.2023 - 19:44;12.86;0.29;12.86;1.70;22.00;
25.01.2023 - 19:44;12.87;0.30;12.87;3.10;40.00;
25.01.2023 - 19:44;12.85;0.18;12.85;2.90;40.00;
25.01.2023 - 19:45;4.56;0.00;4.56;-0.20;0.00;
25.01.2023 - 19:45;11.36;0.11;11.36;1.00;10.00;
25.01.2023 - 19:45;12.83;0.20;12.83;1.70;20.00;
25.01.2023 - 19:45;5.20;0.03;5.20;0.20;0.00;
